1 1 1 , 200 100 200 , 30 30 30 , 
-40.1563 -39.1499 -47.7105 , 226.967 112.764 228.152 , 221.29 205.055 37.9811 , 
-40.3407 -39.3286 -47.917 , 227.083 112.813 228.285 , 222.176 205.954 37.9232 , 
-40.5251 -39.5073 -48.1235 , 227.199 112.862 228.417 , 223.062 206.855 37.8641 , 
-40.7096 -39.6861 -48.33 , 227.315 112.91 228.55 , 223.948 207.756 37.8037 , 
-40.894 -39.8649 -48.5366 , 227.431 112.959 228.682 , 224.835 208.659 37.7422 , 
-41.0786 -40.0437 -48.7431 , 227.546 113.008 228.815 , 225.721 209.562 37.6795 , 
-41.2631 -40.2226 -48.9497 , 227.662 113.056 228.948 , 226.609 210.466 37.6155 , 
-41.4477 -40.4015 -49.1563 , 227.778 113.104 229.081 , 227.496 211.372 37.5504 , 
-41.6324 -40.5804 -49.3628 , 227.894 113.153 229.214 , 228.384 212.278 37.4841 , 
-41.817 -40.7594 -49.5694 , 228.01 113.201 229.348 , 229.272 213.185 37.4166 , 
-42.0017 -40.9384 -49.7761 , 228.126 113.249 229.481 , 230.161 214.093 37.348 , 
-42.1865 -41.1174 -49.9827 , 228.242 113.297 229.615 , 231.05 215.003 37.2782 , 
-42.3712 -41.2965 -50.1893 , 228.357 113.345 229.749 , 231.939 215.913 37.2073 , 
-42.556 -41.4756 -50.396 , 228.473 113.393 229.882 , 232.828 216.824 37.1352 , 
-42.7409 -41.6547 -50.6026 , 228.589 113.441 230.016 , 233.718 217.736 37.062 , 
-42.9258 -41.8338 -50.8093 , 228.705 113.489 230.151 , 234.608 218.649 36.9877 , 
-43.1107 -42.013 -51.016 , 228.821 113.537 230.285 , 235.499 219.563 36.9123 , 
-43.2956 -42.1922 -51.2227 , 228.937 113.584 230.419 , 236.39 220.478 36.8357 , 
-43.4806 -42.3715 -51.4294 , 229.052 113.632 230.554 , 237.281 221.394 36.7581 , 
-43.6656 -42.5507 -51.6362 , 229.168 113.68 230.688 , 238.173 222.311 36.6794 , 
-43.8506 -42.7301 -51.8429 , 229.284 113.727 230.823 , 239.065 223.228 36.5995 , 
-44.0357 -42.9094 -52.0496 , 229.4 113.775 230.958 , 239.957 224.147 36.5186 , 
-44.2208 -43.0887 -52.2564 , 229.516 113.822 231.093 , 240.85 225.067 36.4367 , 
-44.4059 -43.2681 -52.4632 , 229.632 113.869 231.228 , 241.743 225.987 36.3536 , 
-44.5911 -43.4476 -52.67 , 229.747 113.917 231.363 , 242.636 226.909 36.2696 , 
-44.7763 -43.627 -52.8768 , 229.863 113.964 231.498 , 243.53 227.831 36.1844 , 
-44.9615 -43.8065 -53.0836 , 229.979 114.011 231.634 , 244.424 228.755 36.0983 , 
-45.1468 -43.986 -53.2904 , 230.095 114.058 231.769 , 245.319 229.679 36.0111 , 
-45.3321 -44.1655 -53.4972 , 230.211 114.105 231.905 , 246.213 230.604 35.9229 , 
